"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 24 22:24:08 MSK 2026","Mon Aug 24 22:24:10 MSK 2026","2601","tests","test_header_navigation","TestHeaderNavigation","","","Клик по логотипу Яндекса открывает dzen.ru",""
"passed","Mon Aug 24 22:23:14 MSK 2026","Mon Aug 24 22:23:15 MSK 2026","387","tests","test_accordion_faq","TestAccordionFaq","","","FAQ: открыть вопрос №3 и проверить текст ответа",""
"passed","Mon Aug 24 22:22:53 MSK 2026","Mon Aug 24 22:22:54 MSK 2026","391","tests","test_accordion_faq","TestAccordionFaq","","","FAQ: открыть вопрос №1 и проверить текст ответа",""
"passed","Mon Aug 24 22:23:57 MSK 2026","Mon Aug 24 22:23:58 MSK 2026","391","tests","test_accordion_faq","TestAccordionFaq","","","FAQ: открыть вопрос №7 и проверить текст ответа",""
"passed","Mon Aug 24 22:23:36 MSK 2026","Mon Aug 24 22:23:36 MSK 2026","439","tests","test_accordion_faq","TestAccordionFaq","","","FAQ: открыть вопрос №5 и проверить текст ответа",""
"passed","Mon Aug 24 22:23:25 MSK 2026","Mon Aug 24 22:23:26 MSK 2026","397","tests","test_accordion_faq","TestAccordionFaq","","","FAQ: открыть вопрос №4 и проверить текст ответа",""
"passed","Mon Aug 24 22:23:04 MSK 2026","Mon Aug 24 22:23:04 MSK 2026","404","tests","test_accordion_faq","TestAccordionFaq","","","FAQ: открыть вопрос №2 и проверить текст ответа",""
"passed","Mon Aug 24 22:22:43 MSK 2026","Mon Aug 24 22:22:43 MSK 2026","420","tests","test_accordion_faq","TestAccordionFaq","","","FAQ: открыть вопрос №0 и проверить текст ответа",""
"passed","Mon Aug 24 22:24:43 MSK 2026","Mon Aug 24 22:24:45 MSK 2026","2420","tests","test_order_flow","TestOrderFlow","","","Оформить заказ: Нижняя Кнопка, станция Чистые пруды",""
"passed","Mon Aug 24 22:23:46 MSK 2026","Mon Aug 24 22:23:47 MSK 2026","408","tests","test_accordion_faq","TestAccordionFaq","","","FAQ: открыть вопрос №6 и проверить текст ответа",""
"passed","Mon Aug 24 22:24:30 MSK 2026","Mon Aug 24 22:24:33 MSK 2026","2447","tests","test_order_flow","TestOrderFlow","","","Оформить заказ: Верхняя Кнопка, станция Сокольники",""
"passed","Mon Aug 24 22:24:20 MSK 2026","Mon Aug 24 22:24:20 MSK 2026","190","tests","test_header_navigation","TestHeaderNavigation","","","Клик по логотипу Самоката возвращает на главную",""
